"Division","Subject","Section","Type","Instructor","Capacity","Actual Registered","Registered","Seat Available","Room/Time","Final"
"SCI","EGCI213 Programming Paradigms 4(4-0-8)","01","master","Rangsipan MARUKATAT","20","9","9","11","1408 (Tue 14:00 - 15:50)                 1408 (Thu 14:00 - 15:50)","[Room-TBA]"
"SS","ICSO303 Modern Social Theory 4(4-0-8)","01","master","Hardina OHLENDORF","40","17","17","23","3304 (Tue 16:00 - 17:50)                 3304 (Thu 16:00 - 17:50)","[Room-TBA]"
"BBA","ICIS370 Web Programming 4(4-0-8)","01","master","Chaivatna SUMETPHONG","40","6","6","34","1514/1 (Fri 12:00 - 13:50)                 1514/1 (Fri 14:00 - 15:50)","[Room-TBA]"
"SCI","ICBI384 Field Study on Ecology and Biodiversity 2(0-4-2)","01","master","Wayne Nicholas PHILLIPS","25","26","26","-1","","[Room-TBA]"
"SS","ICSO260 Russia and the Soviet Union since 1825 4(4-0-8)","01","joint","Eugene JONES","10","9","9","1","1402 (Mon 12:00 - 13:50)                 1402 (Wed 12:00 - 13:50)","[Room-TBA]"
"SS","ICSS260 Russia and the Soviet Union Since 1825 4(4-0-8)","01","joint","Eugene JONES","10","6","6","4","1402 (Mon 12:00 - 13:50)                 1402 (Wed 12:00 - 13:50)","[Room-TBA]"
"SS","ICSO401 Independent Study in the Social Sciences 4(4-0-8)","01","master","Nigel Gould Davies","5","1","1","4","","[Room-TBA]"
"THM","ICHT214 Business Economics 4(4-0-8)","01","joint","Veerisa CHOTIYAPUTTA","35","26","26","9","1502 (Mon 08:00 - 09:50)                 1502 (Mon 10:00 - 11:50)","[Room-TBA]"
"BBA","ICMK325 Business Marketing 4(4-0-8)","01","joint","Chanchai Phonthanukitithaworn","40","6","6","3","1417 (Tue 10:00 - 11:50)                 1417 (Thu 10:00 - 11:50)","Tue 04-04-2017 10:00 - 11:50 [1403 - 1403]"
"HLD","ICEG232 Advanced Oral Communication 4(4-0-8)","01","master","Nicholas John Richard FERRIMAN","18","14","14","4","5313 (Tue 14:00 - 15:50)                 5313 (Thu 14:00 - 15:50)","Mon 03-04-2017 14:00 - 15:50 [Room-TBA]"
"FAA","ICFP327 Independent Study in Film Production 4(0-8-4)","01","master","Bryan OTT","20","2","2","18","","[Room-TBA]"
"THM","ICIH402 Entrepreneurship in Hospitality Business 4(4-0-8)","01","joint","Sompong AMNUAY-NGERNTRA","30","8","8","22","3317 (Mon 10:00 - 11:50)                 3420 (Wed 10:00 - 11:50)","Fri 07-04-2017 16:00 - 17:50 [Room-TBA]"
"HLD","ICHL171 German XI for Hospitality and Tourism Industry 4(4-0-8)","01","joint","Thomas KREY","20","1","1","2","5210 (Tue 08:00 - 09:50)                 5210 (Thu 08:00 - 09:50)","Tue 04-04-2017 08:00 - 09:50 [5210 - HLD Lecture Room]"
"SCI","ICMA444 Research Project in Applied Mathematics 6(6-0-12)","01","master","Thotsaporn THANATIPANONDA","10","2","2","8","","[Room-TBA]"
"THM","ICIH432 Airline Business Management 4(4-0-8)","01","joint","Kawin ASAWACHATROJ","35","11","11","20","1404 (Mon 14:00 - 15:50)                 1404 (Mon 16:00 - 17:50)","Mon 03-04-2017 16:00 - 17:50 [1304 - Lecture Room]"
